ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
42407               189.18321228        62.18918228         1.6745              25.572              0.06                1                   
42517               189.18141174        62.18927765         3.7086              24.555              0.027               1                   
42925               189.17318726        62.18973541         1.6588              25.404              0.041               1                   
43109               189.21311951        62.19114304         1.67                23.429              0.014               1                   
43265               189.15312195        62.19068146         2.2864              25.053              0.068               1                   
43280               189.19847107        62.19067383         1.8098              25.956              0.067               1                   
43684               189.23542786        62.19176865         2.3021              25.123              0.048               1                   
43818               189.25369263        62.19258881         2.01922             24.449              0.032               1                   
44006               189.13153076        62.19165802         1.6538              25.804              0.057               1                   
44102               189.16213989        62.19207001         1.6538              25.109              0.035               1                   
44178               189.23718262        62.19279861         2.0404              24.617              0.033               1                   
44323               189.14631653        62.19294739         2.9141              25.794              0.067               1                   
44483               189.19996643        62.19277191         2.1691              25.771              0.057               1                   
44525               189.16835022        62.19333267         1.56511             24.555              0.026               1                   
44558               189.19892883        62.19306946         3.424               25.064              0.035               1                   
44585               189.14289856        62.19335938         2.9382              25.299              0.044               1                   
44903               189.14208984        62.19387817         2.2988              25.71               0.068               1                   
44966               189.26167297        62.19430542         2.0088              24.818              0.032               1                   
45004               189.18884277        62.19404221         2.3804              25.29               0.042               1                   
45216               189.23736572        62.19449615         3.0719              25.499              0.048               1                   
45240               189.2565918         62.19617844         1.76                24.613              0.059               1                   
45243               189.13163757        62.19436264         2.8906              25.2                0.041               1                   
45248               189.1403656         62.19549561         1.7424              25.197              0.068               1                   
45261               189.12466431        62.19470978         1.71014             25.28               0.046               1                   
45397               189.16465759        62.19458389         1.721               24.483              0.025               1                   
45498               189.12466431        62.19470978         1.71014             25.081              0.039               1                   
45559               189.12870789        62.19460297         2.6557              25.79               0.058               1                   
45656               189.20832825        62.19496918         1.9283              25.716              0.063               1                   
45797               189.2389679         62.19517136         2.8443              25.446              0.05                1                   
45840               189.22892761        62.19549179         3.0265              24.922              0.033               1                   
45861               189.1204071         62.19563675         2.0496              25.803              0.076               1                   
45880               189.1403656         62.19549561         1.7424              25.576              0.071               1                   
45973               189.20129395        62.19608307         3.0561              24.723              0.036               1                   
46194               189.2565918         62.19617844         1.76                25.603              0.09                1                   
46525               189.23846436        62.19792938         1.71828             24.69               0.038               1                   
46693               189.18875122        62.19783783         2.803               23.948              0.019               1                   
46788               189.21464539        62.19693375         3.4012              25.766              0.053               1                   
46848               189.20465088        62.19738388         1.64587             25.012              0.039               1                   
